id;quantity;unit;name
1;69729;National;application Practical Branding
2;26965;Configuration benchmark Kansas;Turkmenistan turn-key
3;72553;Home Loan Account redundant Assistant;Granite backing up Missouri
4;57617;programming array;maroon infrastructure
5;98772;Associate;transmit
6;91901;feed infrastructures;transmitter Shoes human-resource
7;98420;Intelligent Frozen Gloves;invoice
8;41665;Small sticky;Games
9;7441;Administrator Berkshire bypassing;Rustic scalable input
10;43363;transmitter Technician;alarm Personal Loan Account Micronesia
